# ratings of documents by expert and novice judges
"ID" "annID" "docID" "round" "presentation.order" "rating" "ranking" "Naive.Expert"
"166" "subj66" "doc013" 17 6 3 7 "expert"
"167" "subj66" "doc437" 17 7 2 9 "expert"
"168" "subj66" "doc349" 17 8 3 8 "expert"
"169" "subj66" "doc260" 17 9 4 5 "expert"
"170" "subj66" "doc062" 17 10 4 4 "expert"
"171" "subj66" "doc420" 18 1 4 7 "expert"
"172" "subj66" "doc422" 18 2 4 6 "expert"
"173" "subj66" "doc352" 18 3 5 1 "expert"
"174" "subj66" "doc533" 18 4 4 5 "expert"
"175" "subj66" "doc121" 18 5 4 9 "expert"
"176" "subj66" "doc411" 18 6 4 10 "expert"
"177" "subj66" "doc416" 18 7 4 8 "expert"
"178" "subj66" "doc321" 18 8 5 2 "expert"
"179" "subj66" "doc310" 18 9 5 4 "expert"
"180" "subj66" "doc444" 18 10 5 3 "expert"
"181" "subj66" "doc031" 19 1 4 7 "expert"
"182" "subj66" "doc421" 19 2 4 5 "expert"
"183" "subj66" "doc014" 19 3 5 1 "expert"
"184" "subj66" "doc229" 19 4 4 4 "expert"
"185" "subj66" "doc511" 19 5 3 10 "expert"
"186" "subj66" "doc527" 19 6 3 9 "expert"
"187" "subj66" "doc189" 19 7 4 6 "expert"
"188" "subj66" "doc377" 19 8 4 8 "expert"
"189" "subj66" "doc004" 19 9 5 2 "expert"
"190" "subj66" "doc473" 19 10 5 3 "expert"
"191" "subj66" "doc171" 20 1 3 5 "expert"
"192" "subj66" "doc030" 20 2 5 1 "expert"
"193" "subj66" "doc530" 20 3 4 7 "expert"
"194" "subj66" "doc019" 20 4 5 3 "expert"
"195" "subj66" "doc016" 20 5 5 6 "expert"
"196" "subj66" "doc026" 20 6 4 4 "expert"
"197" "subj66" "doc170" 20 7 3 9 "expert"
"198" "subj66" "doc048" 20 8 2 10 "expert"
"199" "subj66" "doc290" 20 9 3 8 "expert"
"200" "subj66" "doc293" 20 10 5 2 "expert"
"201" "subj66" "doc363" 21 1 4 3 "expert"
"202" "subj66" "doc302" 21 2 4 7 "expert"
"203" "subj66" "doc305" 21 3 4 5 "expert"
"204" "subj66" "doc451" 21 4 4 6 "expert"
"205" "subj66" "doc058" 21 5 3 4 "expert"
"206" "subj66" "doc350" 21 6 3 8 "expert"
"207" "subj66" "doc518" 21 7 2 10 "expert"
"208" "subj66" "doc434" 21 8 5 1 "expert"
"209" "subj66" "doc299" 21 9 3 9 "expert"
"210" "subj66" "doc460" 21 10 5 2 "expert"
"211" "subj66" "doc259" 22 1 4 3 "expert"
"212" "subj66" "doc307" 22 2 4 5 "expert"
"213" "subj66" "doc482" 22 3 4 6 "expert"
"214" "subj66" "doc164" 22 4 3 8 "expert"
"215" "subj66" "doc477" 22 5 3 7 "expert"
"216" "subj66" "doc513" 22 6 5 1 "expert"
"217" "subj66" "doc496" 22 7 3 10 "expert"
"218" "subj66" "doc361" 22 8 4 4 "expert"
"219" "subj66" "doc531" 22 9 3 9 "expert"
"220" "subj66" "doc219" 22 10 4 2 "expert"
"221" "subj66" "doc487" 23 1 3 7 "expert"
"222" "subj66" "doc151" 23 2 4 2 "expert"
"223" "subj66" "doc388" 23 3 4 1 "expert"
"224" "subj66" "doc424" 23 4 2 9 "expert"
"225" "subj66" "doc065" 23 5 4 4 "expert"
"226" "subj66" "doc205" 23 6 4 3 "expert"
"227" "subj66" "doc506" 23 7 3 6 "expert"
"228" "subj66" "doc250" 23 8 4 5 "expert"
"229" "subj66" "doc177" 23 9 2 8 "expert"
"230" "subj66" "doc238" 23 10 2 10 "expert"
"231" "subj66" "doc371" 24 1 5 1 "expert"
"232" "subj66" "doc443" 24 2 5 3 "expert"
"233" "subj66" "doc365" 24 3 5 2 "expert"
"234" "subj66" "doc516" 24 4 5 4 "expert"
"235" "subj66" "doc468" 24 5 3 7 "expert"
"236" "subj66" "doc499" 24 6 3 9 "expert"
"237" "subj66" "doc233" 24 7 3 8 "expert"
"238" "subj66" "doc263" 24 8 4 6 "expert"
"239" "subj66" "doc287" 24 9 3 10 "expert"
"240" "subj66" "doc522" 24 10 4 5 "expert"
"241" "subj66" "doc508" 25 1 4 4 "expert"
"242" "subj66" "doc402" 25 2 4 6 "expert"
"243" "subj66" "doc221" 25 3 5 1 "expert"
"244" "subj66" "doc039" 25 4 4 7 "expert"
"245" "subj66" "doc528" 25 5 4 9 "expert"
